site;fire_class;drt_treatment;site_type;land_type;plotID;gps_loc;species;plantID;loggerID;date_in;date_out;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vv_2;;Vaccinium_vitis-idaea;0;94195263;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_cv_5;;Calluna_vulgaris;0;94195264;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_vv_4;;Vaccinium_vitis-idaea;0;94195266;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;2,2;;Control;1;94195267;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_vm_3;;Vaccinium_myrtillus;0;94195268;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;7,3;;Vaccinium myrtillus;1;94195269;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vv_5;;Vaccinium_vitis-idaea;0;94195271;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_vm_5;;Vaccinium_myrtillus;0;94200491;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_cv_1;;Calluna_vulgaris;0;;26.06.2023;94200491;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Open;ly_o_vv_4;;Vaccinium vitis idea;0;94200492;08/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_en_3;;Empetrum_nigrum;0;94200493;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Forested;ly_f_cv_1;;Calluna vulgaris;0;94200495;22/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;;0;Coastal;DroughtNet;9,3;;Vaccinium vitis idea;4;94200496;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Forested;ly_f_vm_2;;Vaccinium myrtillus;0;94200497;08/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vv_4;;Vaccinium_vitis-idaea;0;94200498;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;7,1;;Control;1;94200499;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_cv_5;;Calluna_vulgaris;0;94201703;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_en_4;;Empetrum_nigrum;0;94201707;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_vm_5;;Vaccinium_myrtillus;0;94201711;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Open;ly_o_vv_5;;Vaccinium vitis idea;0;94201722;08/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;9,1;;Calluna vulgaris;3;94201725;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vm_4;;Vaccinium_myrtillus;0;95221001;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Calluna vulgaris;1;95221002;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;3,3;;Calluna vulgaris;4;95221003;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;3,3;;Empetrum nigrum;3;95221004;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_vm_5;;Vaccinium_myrtillus;0;95221005;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_cv_4;;Calluna_vulgaris;0;95221006;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Vaccinium myrtillus;4;95221007;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;3,3;;Control;1;95221008;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_cv_3;;Calluna_vulgaris;0;95221011;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_cv_2;;Calluna_vulgaris;0;95221012;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
