"","ID","n","leaf_area"
"1239","IGK1234",6,0.455
"1240","IGN5358",6,0.457
"1241","IGO0237",6,0.446
"1242","IGR6509",6,0.448
"1243","IGS4506",6,0.458
"1244","IGV1517",6,0.442
"1245","IGZ8198",6,0.408
"1246","IHK0212",1,3.396
"1247","IHL2353",1,2.665
"1248","IHM5585",1,2.554
"1249","IHN1150",1,3.18
"1250","IHO9282",1,4.106
"1251","IHP0660",1,3.152
"1252","IHQ0682",1,3.522
"1253","IHR3756",1,3.765
"1254","IHS9100",1,2.506
"1255","IHT0864",1,2.542
"1256","IHU1769",1,2.455
"1257","IHV0880",1,2.427
"1258","IHW6115",1,2.679
"1259","IHX6613",1,2.318
"1260","IHZ5727",5,0.355
"1261","IIA4064",5,0.341
"1262","IIB2593",4,0.288
"1263","IIC1474",6,0.436
"1264","IID4848",4,0.311
"1265","IIE2101",5,0.371
"1266","IJS8753",5,0.477
"1267","IJT5408",5,0.449
"1268","IJV1584",6,0.397
"1269","IJW7377",5,0.603
"1270","IJX3217",5,0.511
"1271","IJY1633",5,0.451
"1272","IJZ4562",5,0.443
"1273","IKA8152",5,0.456
"1274","IKB1829",5,0.363
"1275","IKC8420",6,0.356
"1276","IKD1794",1,1.157
"1277","IKF1994",4,0.288
"1278","IKG1998",5,0.277
"1279","IKH0471",1,1.914
"1280","IKJ8813",4,0.248
"1281","IKK5099",4,0.311
"1282","IKL6702",1,1.39
"1283","IKN3869",4,0.364
"1284","IKP0690",5,0.332
"1285","ILA8178",1,1.701
"1286","ILE7560",1,1.677
"1287","ILH8074",5,0.285
"1288","ILI9257",1,1.907
"1289","ILL9639",1,1.101
"1290","ILM0110",1,1.317
"1291","ILP2043",1,1.963
"1292","ILQ1226",1,1.7
"1293","ILT4536",1,1.248
"1294","ILU7148",1,1.312
"1295","ILX1462",5,0.353
"1296","ILY3256",1,0.948
"1297","ILZ5712",1,0.956
"1298","IMA4792",1,0.858
"1299","IMB8637",5,0.381
"1300","IMC6848",1,1.034
"1301","IMD7528",2,1.688
"1302","IMF2002",5,0.346
"1303","IMG2152",1,1.218
"1304","IMH4600",1,1.047
"1305","IMJ4471",4,0.315
"1306","IMK7012",1,1.268
"1307","IML8103",1,1.073
"1308","IMN2762",5,0.382
"1309","IMO2458",1,0.883
"1310","IMP4859",1,0.879
"1311","IMR5778",5,0.388
"1312","IMS1535",1,0.988
"1313","IMT8258",1,0.878
"1314","IMV4537",5,0.396
"1315","IMW2546",1,1.031
"1316","IMX6547",1,0.917
"1317","IMZ5031",5,0.334
"1318","INA8500",1,1.282
"1319","INB4845",1,0.904
"1320","IND4594",1,1.456
"1321","INE0693",1,1.062
"1322","INF2723",1,0.995
"1323","INH5673",1,0.914
"1324","INI2821",1,0.824
"1325","INJ5202",1,1.247
"1326","INL6985",1,1.075
"1327","INM3134",1,0.952
"1328","INN0709",1,1.751
"1329","INP0444",1,1.123
"1330","INQ1439",1,1.415
"1331","INR5314",4,0.356
"1332","IST6025",1,1.661
"1333","ITK7480",1,1.808
"1334","ITO3837",1,1.709
"1335","ITS7492",1,1.862
"1336","ITW1042",1,2.169
"1337","IUA1038",1,1.717
"1338","IUE3484",1,1.669
"1339","IUI4826",1,1.581
"1340","IUM6261",1,1.586
"1341","IVG4185",4,0.349
"1342","IVK0128",4,0.339
"1343","IVO6128",4,0.313
"1344","IVS8856",4,0.332
"1345","IVW2803",4,0.32
"1346","IVX2213",1,1.519
"1347","IWA1191",4,0.386
"1348","IWB8950",1,1.031
"1349","IWE5500",5,0.331
"1350","IWI6210",5,0.401
"1351","IWM4742",5,0.328
"1352","IWQ6743",5,0.309
"1353","IWU8915",5,0.331
"1354","IWX6216",4,0.366
"1355","IWY0445",5,0.364
"1356","IXQ6639",6,0.312
"1357","IXT0096",6,0.357
"1358","IXU1404",6,0.362
"1359","IXX0550",6,0.358
"1360","IXY5134",5,0.31
